"region","city","date","year","week","year_week","infections","new_infections"
"LK Tübingen","Ammerbuch","2020-10-08",2020,41,"2020-41",65,2.0
"LK Tübingen","Bodelshausen","2020-10-08",2020,41,"2020-41",23,0.0
"LK Tübingen","Dettenhausen","2020-10-08",2020,41,"2020-41",17,0.0
"LK Tübingen","Dußlingen","2020-10-08",2020,41,"2020-41",44,6.0
"LK Tübingen","Gomaringen","2020-10-08",2020,41,"2020-41",52,4.0
"LK Tübingen","Hirrlingen","2020-10-08",2020,41,"2020-41",32,0.0
"LK Tübingen","Kirchentelllinsfurt","2020-10-08",2020,41,"2020-41",28,5.0
"LK Tübingen","Kusterdingen","2020-10-08",2020,41,"2020-41",63,9.0
"LK Tübingen","LK","2020-10-08",2020,41,"2020-41",1603,""
"LK Tübingen","Mössingen","2020-10-08",2020,41,"2020-41",183,5.0
"LK Tübingen","Nehren","2020-10-08",2020,41,"2020-41",23,1.0
"LK Tübingen","Neustetten","2020-10-08",2020,41,"2020-41",56,0.0
"LK Tübingen","Ofterdingen","2020-10-08",2020,41,"2020-41",52,0.0
"LK Tübingen","Rottenburg","2020-10-08",2020,41,"2020-41",317,4.0
"LK Tübingen","Starzach","2020-10-08",2020,41,"2020-41",14,0.0
"LK Tübingen","Tübingen","2020-10-08",2020,41,"2020-41",634,8.0
"LK Tübingen","Ammerbuch","2020-10-15",2020,42,"2020-42",70,5.0
"LK Tübingen","Bodelshausen","2020-10-15",2020,42,"2020-42",24,1.0
"LK Tübingen","Dettenhausen","2020-10-15",2020,42,"2020-42",24,7.0
"LK Tübingen","Dußlingen","2020-10-15",2020,42,"2020-42",61,17.0
"LK Tübingen","Gomaringen","2020-10-15",2020,42,"2020-42",72,20.0
"LK Tübingen","Hirrlingen","2020-10-15",2020,42,"2020-42",34,2.0
"LK Tübingen","Kirchentelllinsfurt","2020-10-15",2020,42,"2020-42",34,6.0
"LK Tübingen","Kusterdingen","2020-10-15",2020,42,"2020-42",71,8.0
"LK Tübingen","LK","2020-10-15",2020,42,"2020-42",1755,""
"LK Tübingen","Mössingen","2020-10-15",2020,42,"2020-42",191,8.0
"LK Tübingen","Nehren","2020-10-15",2020,42,"2020-42",28,5.0
"LK Tübingen","Neustetten","2020-10-15",2020,42,"2020-42",56,0.0
"LK Tübingen","Ofterdingen","2020-10-15",2020,42,"2020-42",57,5.0
"LK Tübingen","Rottenburg","2020-10-15",2020,42,"2020-42",332,15.0
"LK Tübingen","Starzach","2020-10-15",2020,42,"2020-42",15,1.0
"LK Tübingen","Tübingen","2020-10-15",2020,42,"2020-42",686,52.0
"LK Tübingen","Ammerbuch","2020-10-29",2020,44,"2020-44",78,6.0
"LK Tübingen","Bodelshausen","2020-10-29",2020,44,"2020-44",34,3.0
"LK Tübingen","Dettenhausen","2020-10-29",2020,44,"2020-44",35,5.0
"LK Tübingen","Dußlingen","2020-10-29",2020,44,"2020-44",81,10.0
"LK Tübingen","Gomaringen","2020-10-29",2020,44,"2020-44",87,7.0
"LK Tübingen","Hirrlingen","2020-10-29",2020,44,"2020-44",43,7.0
"LK Tübingen","Kirchentelllinsfurt","2020-10-29",2020,44,"2020-44",40,3.0
"LK Tübingen","Kusterdingen","2020-10-29",2020,44,"2020-44",104,25.0
"LK Tübingen","LK","2020-10-29",2020,44,"2020-44",2205,""
"LK Tübingen","Mössingen","2020-10-29",2020,44,"2020-44",259,44.0
"LK Tübingen","Nehren","2020-10-29",2020,44,"2020-44",34,2.0
"LK Tübingen","Neustetten","2020-10-29",2020,44,"2020-44",61,5.0
"LK Tübingen","Ofterdingen","2020-10-29",2020,44,"2020-44",79,14.0
"LK Tübingen","Rottenburg","2020-10-29",2020,44,"2020-44",382,38.0
"LK Tübingen","Starzach","2020-10-29",2020,44,"2020-44",46,30.0
"LK Tübingen","Tübingen","2020-10-29",2020,44,"2020-44",842,103.0
"LK Tübingen","Ammerbuch","2020-11-05",2020,45,"2020-45",87,9.0
"LK Tübingen","Bodelshausen","2020-11-05",2020,45,"2020-45",38,4.0
"LK Tübingen","Dettenhausen","2020-11-05",2020,45,"2020-45",37,2.0
"LK Tübingen","Dußlingen","2020-11-05",2020,45,"2020-45",87,6.0
"LK Tübingen","Gomaringen","2020-11-05",2020,45,"2020-45",97,10.0
"LK Tübingen","Hirrlingen","2020-11-05",2020,45,"2020-45",45,2.0
"LK Tübingen","Kirchentelllinsfurt","2020-11-05",2020,45,"2020-45",44,4.0
"LK Tübingen","Kusterdingen","2020-11-05",2020,45,"2020-45",114,10.0
"LK Tübingen","LK","2020-11-05",2020,45,"2020-45",2520,""
"LK Tübingen","Mössingen","2020-11-05",2020,45,"2020-45",312,53.0
"LK Tübingen","Nehren","2020-11-05",2020,45,"2020-45",41,7.0
"LK Tübingen","Neustetten","2020-11-05",2020,45,"2020-45",72,11.0
"LK Tübingen","Ofterdingen","2020-11-05",2020,45,"2020-45",90,11.0
"LK Tübingen","Rottenburg","2020-11-05",2020,45,"2020-45",445,63.0
"LK Tübingen","Starzach","2020-11-05",2020,45,"2020-45",61,15.0
"LK Tübingen","Tübingen","2020-11-05",2020,45,"2020-45",950,108.0
"LK Tübingen","Ammerbuch","2020-11-12",2020,46,"2020-46",103,16.0
"LK Tübingen","Bodelshausen","2020-11-12",2020,46,"2020-46",41,3.0
"LK Tübingen","Dettenhausen","2020-11-12",2020,46,"2020-46",40,3.0
"LK Tübingen","Dußlingen","2020-11-12",2020,46,"2020-46",100,13.0
"LK Tübingen","Gomaringen","2020-11-12",2020,46,"2020-46",105,8.0
"LK Tübingen","Hirrlingen","2020-11-12",2020,46,"2020-46",51,6.0
"LK Tübingen","Kirchentelllinsfurt","2020-11-12",2020,46,"2020-46",51,7.0
"LK Tübingen","Kusterdingen","2020-11-12",2020,46,"2020-46",115,1.0
"LK Tübingen","LK","2020-11-12",2020,46,"2020-46",2803,""
"LK Tübingen","Mössingen","2020-11-12",2020,46,"2020-46",348,36.0
"LK Tübingen","Nehren","2020-11-12",2020,46,"2020-46",46,5.0
"LK Tübingen","Neustetten","2020-11-12",2020,46,"2020-46",76,4.0
"LK Tübingen","Ofterdingen","2020-11-12",2020,46,"2020-46",97,7.0
"LK Tübingen","Rottenburg","2020-11-12",2020,46,"2020-46",518,73.0
"LK Tübingen","Starzach","2020-11-12",2020,46,"2020-46",70,9.0
"LK Tübingen","Tübingen","2020-11-12",2020,46,"2020-46",1042,92.0
"LK Tübingen","Ammerbuch","2020-11-19",2020,47,"2020-47",115,12.0
"LK Tübingen","Bodelshausen","2020-11-19",2020,47,"2020-47",45,4.0
"LK Tübingen","Dettenhausen","2020-11-19",2020,47,"2020-47",45,5.0
"LK Tübingen","Dußlingen","2020-11-19",2020,47,"2020-47",109,9.0
"LK Tübingen","Gomaringen","2020-11-19",2020,47,"2020-47",110,5.0
"LK Tübingen","Hirrlingen","2020-11-19",2020,47,"2020-47",54,3.0
"LK Tübingen","Kirchentelllinsfurt","2020-11-19",2020,47,"2020-47",59,8.0
"LK Tübingen","Kusterdingen","2020-11-19",2020,47,"2020-47",124,9.0
"LK Tübingen","LK","2020-11-19",2020,47,"2020-47",3034,""
"LK Tübingen","Mössingen","2020-11-19",2020,47,"2020-47",376,28.0
"LK Tübingen","Nehren","2020-11-19",2020,47,"2020-47",51,5.0
"LK Tübingen","Neustetten","2020-11-19",2020,47,"2020-47",81,5.0
"LK Tübingen","Ofterdingen","2020-11-19",2020,47,"2020-47",101,4.0
"LK Tübingen","Rottenburg","2020-11-19",2020,47,"2020-47",570,52.0
"LK Tübingen","Starzach","2020-11-19",2020,47,"2020-47",76,6.0
"LK Tübingen","Tübingen","2020-11-19",2020,47,"2020-47",1118,76.0
"LK Tübingen","Ammerbuch","2020-11-26",2020,48,"2020-48",129,14.0
"LK Tübingen","Bodelshausen","2020-11-26",2020,48,"2020-48",47,2.0
"LK Tübingen","Dettenhausen","2020-11-26",2020,48,"2020-48",59,14.0
"LK Tübingen","Dußlingen","2020-11-26",2020,48,"2020-48",115,6.0
"LK Tübingen","Gomaringen","2020-11-26",2020,48,"2020-48",119,9.0
"LK Tübingen","Hirrlingen","2020-11-26",2020,48,"2020-48",55,1.0
"LK Tübingen","Kirchentelllinsfurt","2020-11-26",2020,48,"2020-48",66,7.0
"LK Tübingen","Kusterdingen","2020-11-26",2020,48,"2020-48",128,4.0
"LK Tübingen","LK","2020-11-26",2020,48,"2020-48",3235,""
"LK Tübingen","Mössingen","2020-11-26",2020,48,"2020-48",390,14.0
"LK Tübingen","Nehren","2020-11-26",2020,48,"2020-48",52,1.0
"LK Tübingen","Neustetten","2020-11-26",2020,48,"2020-48",87,6.0
"LK Tübingen","Ofterdingen","2020-11-26",2020,48,"2020-48",103,2.0
"LK Tübingen","Rottenburg","2020-11-26",2020,48,"2020-48",628,58.0
"LK Tübingen","Starzach","2020-11-26",2020,48,"2020-48",78,2.0
"LK Tübingen","Tübingen","2020-11-26",2020,48,"2020-48",1179,61.0
"LK Tübingen","Ammerbuch","2020-12-03",2020,49,"2020-49",138,9.0
"LK Tübingen","Bodelshausen","2020-12-03",2020,49,"2020-49",56,9.0
"LK Tübingen","Dettenhausen","2020-12-03",2020,49,"2020-49",65,6.0
"LK Tübingen","Dußlingen","2020-12-03",2020,49,"2020-49",117,2.0
"LK Tübingen","Gomaringen","2020-12-03",2020,49,"2020-49",136,17.0
"LK Tübingen","Hirrlingen","2020-12-03",2020,49,"2020-49",59,4.0
"LK Tübingen","Kirchentelllinsfurt","2020-12-03",2020,49,"2020-49",66,0.0
"LK Tübingen","Kusterdingen","2020-12-03",2020,49,"2020-49",136,8.0
"LK Tübingen","LK","2020-12-03",2020,49,"2020-49",3448,""
"LK Tübingen","Mössingen","2020-12-03",2020,49,"2020-49",410,20.0
"LK Tübingen","Nehren","2020-12-03",2020,49,"2020-49",54,2.0
"LK Tübingen","Neustetten","2020-12-03",2020,49,"2020-49",90,3.0
"LK Tübingen","Ofterdingen","2020-12-03",2020,49,"2020-49",107,4.0
"LK Tübingen","Rottenburg","2020-12-03",2020,49,"2020-49",678,50.0
"LK Tübingen","Starzach","2020-12-03",2020,49,"2020-49",87,9.0
"LK Tübingen","Tübingen","2020-12-03",2020,49,"2020-49",1249,70.0
"LK Tübingen","Ammerbuch","2020-12-10",2020,50,"2020-50",155,17.0
"LK Tübingen","Bodelshausen","2020-12-10",2020,50,"2020-50",61,5.0
"LK Tübingen","Dettenhausen","2020-12-10",2020,50,"2020-50",81,16.0
"LK Tübingen","Dußlingen","2020-12-10",2020,50,"2020-50",120,3.0
"LK Tübingen","Gomaringen","2020-12-10",2020,50,"2020-50",156,20.0
"LK Tübingen","Hirrlingen","2020-12-10",2020,50,"2020-50",64,5.0
"LK Tübingen","Kirchentelllinsfurt","2020-12-10",2020,50,"2020-50",76,10.0
"LK Tübingen","Kusterdingen","2020-12-10",2020,50,"2020-50",143,7.0
"LK Tübingen","LK","2020-12-10",2020,50,"2020-50",3781,""
"LK Tübingen","Mössingen","2020-12-10",2020,50,"2020-50",469,59.0
"LK Tübingen","Nehren","2020-12-10",2020,50,"2020-50",58,4.0
"LK Tübingen","Neustetten","2020-12-10",2020,50,"2020-50",96,6.0
"LK Tübingen","Ofterdingen","2020-12-10",2020,50,"2020-50",110,3.0
"LK Tübingen","Rottenburg","2020-12-10",2020,50,"2020-50",734,56.0
"LK Tübingen","Starzach","2020-12-10",2020,50,"2020-50",102,15.0
"LK Tübingen","Tübingen","2020-12-10",2020,50,"2020-50",1356,107.0
"LK Tübingen","Ammerbuch","2020-12-17",2020,51,"2020-51",180,25.0
"LK Tübingen","Bodelshausen","2020-12-17",2020,51,"2020-51",70,9.0
"LK Tübingen","Dettenhausen","2020-12-17",2020,51,"2020-51",91,10.0
"LK Tübingen","Dußlingen","2020-12-17",2020,51,"2020-51",127,7.0
"LK Tübingen","Gomaringen","2020-12-17",2020,51,"2020-51",176,20.0
"LK Tübingen","Hirrlingen","2020-12-17",2020,51,"2020-51",66,2.0
"LK Tübingen","Kirchentelllinsfurt","2020-12-17",2020,51,"2020-51",100,24.0
"LK Tübingen","Kusterdingen","2020-12-17",2020,51,"2020-51",155,12.0
"LK Tübingen","LK","2020-12-17",2020,51,"2020-51",4232,""
"LK Tübingen","Mössingen","2020-12-17",2020,51,"2020-51",522,53.0
"LK Tübingen","Nehren","2020-12-17",2020,51,"2020-51",65,7.0
"LK Tübingen","Neustetten","2020-12-17",2020,51,"2020-51",101,5.0
"LK Tübingen","Ofterdingen","2020-12-17",2020,51,"2020-51",117,7.0
"LK Tübingen","Rottenburg","2020-12-17",2020,51,"2020-51",800,66.0
"LK Tübingen","Starzach","2020-12-17",2020,51,"2020-51",113,11.0
"LK Tübingen","Tübingen","2020-12-17",2020,51,"2020-51",1549,193.0
"LK Tübingen","Ammerbuch","2020-12-22",2020,52,"2020-52",198,18.0
"LK Tübingen","Bodelshausen","2020-12-22",2020,52,"2020-52",81,11.0
"LK Tübingen","Dettenhausen","2020-12-22",2020,52,"2020-52",96,5.0
"LK Tübingen","Dußlingen","2020-12-22",2020,52,"2020-52",140,13.0
"LK Tübingen","Gomaringen","2020-12-22",2020,52,"2020-52",188,12.0
"LK Tübingen","Hirrlingen","2020-12-22",2020,52,"2020-52",67,1.0
"LK Tübingen","Kirchentelllinsfurt","2020-12-22",2020,52,"2020-52",117,17.0
"LK Tübingen","Kusterdingen","2020-12-22",2020,52,"2020-52",169,14.0
"LK Tübingen","LK","2020-12-22",2020,52,"2020-52",4660,""
"LK Tübingen","Mössingen","2020-12-22",2020,52,"2020-52",558,36.0
"LK Tübingen","Nehren","2020-12-22",2020,52,"2020-52",71,6.0
"LK Tübingen","Neustetten","2020-12-22",2020,52,"2020-52",103,2.0
"LK Tübingen","Ofterdingen","2020-12-22",2020,52,"2020-52",121,4.0
"LK Tübingen","Rottenburg","2020-12-22",2020,52,"2020-52",909,109.0
"LK Tübingen","Starzach","2020-12-22",2020,52,"2020-52",123,10.0
"LK Tübingen","Tübingen","2020-12-22",2020,52,"2020-52",1719,170.0
"LK Tübingen","Ammerbuch","2020-12-27",2020,52,"2020-52",207,9.0
"LK Tübingen","Bodelshausen","2020-12-27",2020,52,"2020-52",84,3.0
"LK Tübingen","Dettenhausen","2020-12-27",2020,52,"2020-52",96,0.0
"LK Tübingen","Dußlingen","2020-12-27",2020,52,"2020-52",145,5.0
"LK Tübingen","Gomaringen","2020-12-27",2020,52,"2020-52",203,15.0
"LK Tübingen","Hirrlingen","2020-12-27",2020,52,"2020-52",71,4.0
"LK Tübingen","Kirchentelllinsfurt","2020-12-27",2020,52,"2020-52",132,15.0
"LK Tübingen","Kusterdingen","2020-12-27",2020,52,"2020-52",191,22.0
"LK Tübingen","LK","2020-12-27",2020,52,"2020-52",4969,""
"LK Tübingen","Mössingen","2020-12-27",2020,52,"2020-52",577,19.0
"LK Tübingen","Nehren","2020-12-27",2020,52,"2020-52",74,3.0
"LK Tübingen","Neustetten","2020-12-27",2020,52,"2020-52",105,2.0
"LK Tübingen","Ofterdingen","2020-12-27",2020,52,"2020-52",126,5.0
"LK Tübingen","Rottenburg","2020-12-27",2020,52,"2020-52",977,68.0
"LK Tübingen","Starzach","2020-12-27",2020,52,"2020-52",130,7.0
"LK Tübingen","Tübingen","2020-12-27",2020,52,"2020-52",1851,132.0
"LK Tübingen","Ammerbuch","2021-01-03",2020,53,"2020-53",246,31.0
"LK Tübingen","Bodelshausen","2021-01-03",2020,53,"2020-53",90,6.0
"LK Tübingen","Dettenhausen","2021-01-03",2020,53,"2020-53",97,1.0
"LK Tübingen","Dußlingen","2021-01-03",2020,53,"2020-53",147,1.0
"LK Tübingen","Gomaringen","2021-01-03",2020,53,"2020-53",209,4.0
"LK Tübingen","Hirrlingen","2021-01-03",2020,53,"2020-53",76,3.0
"LK Tübingen","Kirchentelllinsfurt","2021-01-03",2020,53,"2020-53",146,11.0
"LK Tübingen","Kusterdingen","2021-01-03",2020,53,"2020-53",200,6.0
"LK Tübingen","LK","2021-01-03",2020,53,"2020-53",5272,""
"LK Tübingen","Mössingen","2021-01-03",2020,53,"2020-53",595,14.0
"LK Tübingen","Nehren","2021-01-03",2020,53,"2020-53",75,1.0
"LK Tübingen","Neustetten","2021-01-03",2020,53,"2020-53",115,7.0
"LK Tübingen","Ofterdingen","2021-01-03",2020,53,"2020-53",129,3.0
"LK Tübingen","Rottenburg","2021-01-03",2020,53,"2020-53",1077,72.0
"LK Tübingen","Starzach","2021-01-03",2020,53,"2020-53",133,3.0
"LK Tübingen","Tübingen","2021-01-03",2020,53,"2020-53",1937,68.0
"LK Tübingen","Ammerbuch","2021-01-07",2021,1,"2021-01",268,22.0
"LK Tübingen","Bodelshausen","2021-01-07",2021,1,"2021-01",95,5.0
"LK Tübingen","Dettenhausen","2021-01-07",2021,1,"2021-01",97,0.0
"LK Tübingen","Dußlingen","2021-01-07",2021,1,"2021-01",147,0.0
"LK Tübingen","Gomaringen","2021-01-07",2021,1,"2021-01",210,1.0
"LK Tübingen","Hirrlingen","2021-01-07",2021,1,"2021-01",76,0.0
"LK Tübingen","Kirchentelllinsfurt","2021-01-07",2021,1,"2021-01",149,3.0
"LK Tübingen","Kusterdingen","2021-01-07",2021,1,"2021-01",202,2.0
"LK Tübingen","LK","2021-01-07",2021,1,"2021-01",5382,""
"LK Tübingen","Mössingen","2021-01-07",2021,1,"2021-01",599,4.0
"LK Tübingen","Nehren","2021-01-07",2021,1,"2021-01",75,0.0
"LK Tübingen","Neustetten","2021-01-07",2021,1,"2021-01",118,3.0
"LK Tübingen","Ofterdingen","2021-01-07",2021,1,"2021-01",130,1.0
"LK Tübingen","Rottenburg","2021-01-07",2021,1,"2021-01",1112,35.0
"LK Tübingen","Starzach","2021-01-07",2021,1,"2021-01",137,4.0
"LK Tübingen","Tübingen","2021-01-07",2021,1,"2021-01",1967,30.0
"LK Tübingen","Ammerbuch","2021-01-14",2021,2,"2021-02",282,14.0
"LK Tübingen","Bodelshausen","2021-01-14",2021,2,"2021-02",100,5.0
"LK Tübingen","Dettenhausen","2021-01-14",2021,2,"2021-02",101,4.0
"LK Tübingen","Dußlingen","2021-01-14",2021,2,"2021-02",147,0.0
"LK Tübingen","Gomaringen","2021-01-14",2021,2,"2021-02",212,2.0
"LK Tübingen","Hirrlingen","2021-01-14",2021,2,"2021-02",80,4.0
