"subregion","city","population","date","infections","ni_diff","7d_incidence"
"LK Tübingen","Ammerbuch",11302.0,"2020-10-08",65,2.0,17.69598301185631
"LK Tübingen","Bodelshausen",5850.0,"2020-10-08",23,0.0,0.0
"LK Tübingen","Dettenhausen",5390.0,"2020-10-08",17,0.0,0.0
"LK Tübingen","Dußlingen",6241.0,"2020-10-08",44,6.0,96.13843935266785
"LK Tübingen","Gomaringen",9077.0,"2020-10-08",52,4.0,44.067423157430866
"LK Tübingen","Hirrlingen",3135.0,"2020-10-08",32,0.0,0.0
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-10-08",28,5.0,88.62105636299185
"LK Tübingen","Kusterdingen",8629.0,"2020-10-08",63,9.0,104.29945532506663
"LK Tübingen","LK",227166.0,"2020-10-08",1603,"",""
"LK Tübingen","Mössingen",20455.0,"2020-10-08",183,5.0,24.443901246638962
"LK Tübingen","Nehren",4376.0,"2020-10-08",23,1.0,22.851919561243143
"LK Tübingen","Neustetten",3715.0,"2020-10-08",56,0.0,0.0
"LK Tübingen","Ofterdingen",5182.0,"2020-10-08",52,0.0,0.0
"LK Tübingen","Rottenburg",43843.0,"2020-10-08",317,4.0,9.123463266656023
"LK Tübingen","Starzach",4335.0,"2020-10-08",14,0.0,0.0
"LK Tübingen","Tübingen",91506.0,"2020-10-08",634,8.0,8.742596113916028
"LK Tübingen","Ammerbuch",11302.0,"2020-10-15",70,5.0,44.239957529640776
"LK Tübingen","Bodelshausen",5850.0,"2020-10-15",24,1.0,17.094017094017094
"LK Tübingen","Dettenhausen",5390.0,"2020-10-15",24,7.0,129.87012987012986
"LK Tübingen","Dußlingen",6241.0,"2020-10-15",61,17.0,272.3922448325589
"LK Tübingen","Gomaringen",9077.0,"2020-10-15",72,20.0,220.33711578715435
"LK Tübingen","Hirrlingen",3135.0,"2020-10-15",34,2.0,63.795853269537474
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-10-15",34,6.0,106.34526763559022
"LK Tübingen","Kusterdingen",8629.0,"2020-10-15",71,8.0,92.71062695561479
"LK Tübingen","LK",227166.0,"2020-10-15",1755,"",""
"LK Tübingen","Mössingen",20455.0,"2020-10-15",191,8.0,39.11024199462234
"LK Tübingen","Nehren",4376.0,"2020-10-15",28,5.0,114.25959780621572
"LK Tübingen","Neustetten",3715.0,"2020-10-15",56,0.0,0.0
"LK Tübingen","Ofterdingen",5182.0,"2020-10-15",57,5.0,96.487842531841
"LK Tübingen","Rottenburg",43843.0,"2020-10-15",332,15.0,34.212987249960086
"LK Tübingen","Starzach",4335.0,"2020-10-15",15,1.0,23.06805074971165
"LK Tübingen","Tübingen",91506.0,"2020-10-15",686,52.0,56.82687474045418
"LK Tübingen","Ammerbuch",11302.0,"2020-10-29",78,6.0,53.087949035568926
"LK Tübingen","Bodelshausen",5850.0,"2020-10-29",34,3.0,51.28205128205128
"LK Tübingen","Dettenhausen",5390.0,"2020-10-29",35,5.0,92.76437847866418
"LK Tübingen","Dußlingen",6241.0,"2020-10-29",81,10.0,160.2307322544464
"LK Tübingen","Gomaringen",9077.0,"2020-10-29",87,7.0,77.11799052550401
"LK Tübingen","Hirrlingen",3135.0,"2020-10-29",43,7.0,223.28548644338116
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-10-29",40,3.0,53.17263381779511
"LK Tübingen","Kusterdingen",8629.0,"2020-10-29",104,25.0,289.7207092362962
"LK Tübingen","LK",227166.0,"2020-10-29",2205,"",""
"LK Tübingen","Mössingen",20455.0,"2020-10-29",259,44.0,215.10633097042287
"LK Tübingen","Nehren",4376.0,"2020-10-29",34,2.0,45.703839122486286
"LK Tübingen","Neustetten",3715.0,"2020-10-29",61,5.0,134.58950201884252
"LK Tübingen","Ofterdingen",5182.0,"2020-10-29",79,14.0,270.1659590891548
"LK Tübingen","Rottenburg",43843.0,"2020-10-29",382,38.0,86.67290103323222
"LK Tübingen","Starzach",4335.0,"2020-10-29",46,30.0,692.0415224913495
"LK Tübingen","Tübingen",91506.0,"2020-10-29",842,103.0,112.56092496666885
"LK Tübingen","Ammerbuch",11302.0,"2020-11-05",87,9.0,79.63192355335339
"LK Tübingen","Bodelshausen",5850.0,"2020-11-05",38,4.0,68.37606837606837
"LK Tübingen","Dettenhausen",5390.0,"2020-11-05",37,2.0,37.105751391465674
"LK Tübingen","Dußlingen",6241.0,"2020-11-05",87,6.0,96.13843935266785
"LK Tübingen","Gomaringen",9077.0,"2020-11-05",97,10.0,110.16855789357717
"LK Tübingen","Hirrlingen",3135.0,"2020-11-05",45,2.0,63.795853269537474
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-11-05",44,4.0,70.89684509039348
"LK Tübingen","Kusterdingen",8629.0,"2020-11-05",114,10.0,115.88828369451848
"LK Tübingen","LK",227166.0,"2020-11-05",2520,"",""
"LK Tübingen","Mössingen",20455.0,"2020-11-05",312,53.0,259.105353214373
"LK Tübingen","Nehren",4376.0,"2020-11-05",41,7.0,159.963436928702
"LK Tübingen","Neustetten",3715.0,"2020-11-05",72,11.0,296.09690444145355
"LK Tübingen","Ofterdingen",5182.0,"2020-11-05",90,11.0,212.27325357005017
"LK Tübingen","Rottenburg",43843.0,"2020-11-05",445,63.0,143.69454644983236
"LK Tübingen","Starzach",4335.0,"2020-11-05",61,15.0,346.02076124567475
"LK Tübingen","Tübingen",91506.0,"2020-11-05",950,108.0,118.02504753786637
"LK Tübingen","Ammerbuch",11302.0,"2020-11-12",103,16.0,141.56786409485048
"LK Tübingen","Bodelshausen",5850.0,"2020-11-12",41,3.0,51.28205128205128
"LK Tübingen","Dettenhausen",5390.0,"2020-11-12",40,3.0,55.65862708719851
"LK Tübingen","Dußlingen",6241.0,"2020-11-12",100,13.0,208.2999519307803
"LK Tübingen","Gomaringen",9077.0,"2020-11-12",105,8.0,88.13484631486173
"LK Tübingen","Hirrlingen",3135.0,"2020-11-12",51,6.0,191.38755980861242
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-11-12",51,7.0,124.06947890818859
"LK Tübingen","Kusterdingen",8629.0,"2020-11-12",115,1.0,11.588828369451848
"LK Tübingen","LK",227166.0,"2020-11-12",2803,"",""
"LK Tübingen","Mössingen",20455.0,"2020-11-12",348,36.0,175.99608897580052
"LK Tübingen","Nehren",4376.0,"2020-11-12",46,5.0,114.25959780621572
"LK Tübingen","Neustetten",3715.0,"2020-11-12",76,4.0,107.67160161507401
"LK Tübingen","Ofterdingen",5182.0,"2020-11-12",97,7.0,135.0829795445774
"LK Tübingen","Rottenburg",43843.0,"2020-11-12",518,73.0,166.50320461647243
"LK Tübingen","Starzach",4335.0,"2020-11-12",70,9.0,207.61245674740485
"LK Tübingen","Tübingen",91506.0,"2020-11-12",1042,92.0,100.53985531003431
"LK Tübingen","Ammerbuch",11302.0,"2020-11-19",115,12.0,106.17589807113785
"LK Tübingen","Bodelshausen",5850.0,"2020-11-19",45,4.0,68.37606837606837
"LK Tübingen","Dettenhausen",5390.0,"2020-11-19",45,5.0,92.76437847866418
"LK Tübingen","Dußlingen",6241.0,"2020-11-19",109,9.0,144.20765902900177
"LK Tübingen","Gomaringen",9077.0,"2020-11-19",110,5.0,55.08427894678859
"LK Tübingen","Hirrlingen",3135.0,"2020-11-19",54,3.0,95.69377990430621
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-11-19",59,8.0,141.79369018078697
"LK Tübingen","Kusterdingen",8629.0,"2020-11-19",124,9.0,104.29945532506663
"LK Tübingen","LK",227166.0,"2020-11-19",3034,"",""
"LK Tübingen","Mössingen",20455.0,"2020-11-19",376,28.0,136.8858469811782
"LK Tübingen","Nehren",4376.0,"2020-11-19",51,5.0,114.25959780621572
"LK Tübingen","Neustetten",3715.0,"2020-11-19",81,5.0,134.58950201884252
"LK Tübingen","Ofterdingen",5182.0,"2020-11-19",101,4.0,77.19027402547279
"LK Tübingen","Rottenburg",43843.0,"2020-11-19",570,52.0,118.6050224665283
"LK Tübingen","Starzach",4335.0,"2020-11-19",76,6.0,138.4083044982699
"LK Tübingen","Tübingen",91506.0,"2020-11-19",1118,76.0,83.05466308220227
"LK Tübingen","Ammerbuch",11302.0,"2020-11-26",129,14.0,123.87188108299416
"LK Tübingen","Bodelshausen",5850.0,"2020-11-26",47,2.0,34.18803418803419
"LK Tübingen","Dettenhausen",5390.0,"2020-11-26",59,14.0,259.7402597402597
"LK Tübingen","Dußlingen",6241.0,"2020-11-26",115,6.0,96.13843935266785
"LK Tübingen","Gomaringen",9077.0,"2020-11-26",119,9.0,99.15170210421945
"LK Tübingen","Hirrlingen",3135.0,"2020-11-26",55,1.0,31.897926634768737
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-11-26",66,7.0,124.06947890818859
"LK Tübingen","Kusterdingen",8629.0,"2020-11-26",128,4.0,46.35531347780739
"LK Tübingen","LK",227166.0,"2020-11-26",3235,"",""
"LK Tübingen","Mössingen",20455.0,"2020-11-26",390,14.0,68.4429234905891
"LK Tübingen","Nehren",4376.0,"2020-11-26",52,1.0,22.851919561243143
"LK Tübingen","Neustetten",3715.0,"2020-11-26",87,6.0,161.50740242261102
"LK Tübingen","Ofterdingen",5182.0,"2020-11-26",103,2.0,38.595137012736394
"LK Tübingen","Rottenburg",43843.0,"2020-11-26",628,58.0,132.29021736651234
"LK Tübingen","Starzach",4335.0,"2020-11-26",78,2.0,46.1361014994233
"LK Tübingen","Tübingen",91506.0,"2020-11-26",1179,61.0,66.6622953686097
"LK Tübingen","Ammerbuch",11302.0,"2020-12-03",138,9.0,79.63192355335339
"LK Tübingen","Bodelshausen",5850.0,"2020-12-03",56,9.0,153.84615384615384
"LK Tübingen","Dettenhausen",5390.0,"2020-12-03",65,6.0,111.31725417439702
"LK Tübingen","Dußlingen",6241.0,"2020-12-03",117,2.0,32.04614645088928
"LK Tübingen","Gomaringen",9077.0,"2020-12-03",136,17.0,187.28654841908119
"LK Tübingen","Hirrlingen",3135.0,"2020-12-03",59,4.0,127.59170653907495
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-12-03",66,0.0,0.0
"LK Tübingen","Kusterdingen",8629.0,"2020-12-03",136,8.0,92.71062695561479
"LK Tübingen","LK",227166.0,"2020-12-03",3448,"",""
"LK Tübingen","Mössingen",20455.0,"2020-12-03",410,20.0,97.77560498655585
"LK Tübingen","Nehren",4376.0,"2020-12-03",54,2.0,45.703839122486286
"LK Tübingen","Neustetten",3715.0,"2020-12-03",90,3.0,80.75370121130551
"LK Tübingen","Ofterdingen",5182.0,"2020-12-03",107,4.0,77.19027402547279
"LK Tübingen","Rottenburg",43843.0,"2020-12-03",678,50.0,114.04329083320029
"LK Tübingen","Starzach",4335.0,"2020-12-03",87,9.0,207.61245674740485
"LK Tübingen","Tübingen",91506.0,"2020-12-03",1249,70.0,76.49771599676524
"LK Tübingen","Ammerbuch",11302.0,"2020-12-10",155,17.0,150.41585560077863
"LK Tübingen","Bodelshausen",5850.0,"2020-12-10",61,5.0,85.47008547008546
"LK Tübingen","Dettenhausen",5390.0,"2020-12-10",81,16.0,296.8460111317254
"LK Tübingen","Dußlingen",6241.0,"2020-12-10",120,3.0,48.06921967633392
"LK Tübingen","Gomaringen",9077.0,"2020-12-10",156,20.0,220.33711578715435
"LK Tübingen","Hirrlingen",3135.0,"2020-12-10",64,5.0,159.48963317384369
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-12-10",76,10.0,177.2421127259837
"LK Tübingen","Kusterdingen",8629.0,"2020-12-10",143,7.0,81.12179858616294
"LK Tübingen","LK",227166.0,"2020-12-10",3781,"",""
"LK Tübingen","Mössingen",20455.0,"2020-12-10",469,59.0,288.43803471033976
"LK Tübingen","Nehren",4376.0,"2020-12-10",58,4.0,91.40767824497257
"LK Tübingen","Neustetten",3715.0,"2020-12-10",96,6.0,161.50740242261102
"LK Tübingen","Ofterdingen",5182.0,"2020-12-10",110,3.0,57.892705519104595
"LK Tübingen","Rottenburg",43843.0,"2020-12-10",734,56.0,127.72848573318431
"LK Tübingen","Starzach",4335.0,"2020-12-10",102,15.0,346.02076124567475
"LK Tübingen","Tübingen",91506.0,"2020-12-10",1356,107.0,116.93222302362686
"LK Tübingen","Ammerbuch",11302.0,"2020-12-17",180,25.0,221.19978764820388
"LK Tübingen","Bodelshausen",5850.0,"2020-12-17",70,9.0,153.84615384615384
"LK Tübingen","Dettenhausen",5390.0,"2020-12-17",91,10.0,185.52875695732837
"LK Tübingen","Dußlingen",6241.0,"2020-12-17",127,7.0,112.16151257811248
"LK Tübingen","Gomaringen",9077.0,"2020-12-17",176,20.0,220.33711578715435
"LK Tübingen","Hirrlingen",3135.0,"2020-12-17",66,2.0,63.795853269537474
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-12-17",100,24.0,425.3810705423609
"LK Tübingen","Kusterdingen",8629.0,"2020-12-17",155,12.0,139.06594043342218
"LK Tübingen","LK",227166.0,"2020-12-17",4232,"",""
"LK Tübingen","Mössingen",20455.0,"2020-12-17",522,53.0,259.105353214373
"LK Tübingen","Nehren",4376.0,"2020-12-17",65,7.0,159.963436928702
"LK Tübingen","Neustetten",3715.0,"2020-12-17",101,5.0,134.58950201884252
"LK Tübingen","Ofterdingen",5182.0,"2020-12-17",117,7.0,135.0829795445774
"LK Tübingen","Rottenburg",43843.0,"2020-12-17",800,66.0,150.53714389982437
"LK Tübingen","Starzach",4335.0,"2020-12-17",113,11.0,253.74855824682814
"LK Tübingen","Tübingen",91506.0,"2020-12-17",1549,193.0,210.91513124822416
"LK Tübingen","Ammerbuch",11302.0,"2020-12-22",198,18.0,159.26384710670678
"LK Tübingen","Bodelshausen",5850.0,"2020-12-22",81,11.0,188.03418803418802
"LK Tübingen","Dettenhausen",5390.0,"2020-12-22",96,5.0,92.76437847866418
"LK Tübingen","Dußlingen",6241.0,"2020-12-22",140,13.0,208.2999519307803
"LK Tübingen","Gomaringen",9077.0,"2020-12-22",188,12.0,132.2022694722926
"LK Tübingen","Hirrlingen",3135.0,"2020-12-22",67,1.0,31.897926634768737
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-12-22",117,17.0,301.3115916341723
"LK Tübingen","Kusterdingen",8629.0,"2020-12-22",169,14.0,162.24359717232588
"LK Tübingen","LK",227166.0,"2020-12-22",4660,"",""
"LK Tübingen","Mössingen",20455.0,"2020-12-22",558,36.0,175.99608897580052
"LK Tübingen","Nehren",4376.0,"2020-12-22",71,6.0,137.11151736745887
"LK Tübingen","Neustetten",3715.0,"2020-12-22",103,2.0,53.835800807537005
"LK Tübingen","Ofterdingen",5182.0,"2020-12-22",121,4.0,77.19027402547279
"LK Tübingen","Rottenburg",43843.0,"2020-12-22",909,109.0,248.61437401637662
"LK Tübingen","Starzach",4335.0,"2020-12-22",123,10.0,230.6805074971165
"LK Tübingen","Tübingen",91506.0,"2020-12-22",1719,170.0,185.78016742071557
"LK Tübingen","Ammerbuch",11302.0,"2020-12-27",207,9.0,79.63192355335339
"LK Tübingen","Bodelshausen",5850.0,"2020-12-27",84,3.0,51.28205128205128
"LK Tübingen","Dettenhausen",5390.0,"2020-12-27",96,0.0,0.0
"LK Tübingen","Dußlingen",6241.0,"2020-12-27",145,5.0,80.1153661272232
"LK Tübingen","Gomaringen",9077.0,"2020-12-27",203,15.0,165.25283684036575
"LK Tübingen","Hirrlingen",3135.0,"2020-12-27",71,4.0,127.59170653907495
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2020-12-27",132,15.0,265.86316908897555
"LK Tübingen","Kusterdingen",8629.0,"2020-12-27",191,22.0,254.95422412794065
"LK Tübingen","LK",227166.0,"2020-12-27",4969,"",""
"LK Tübingen","Mössingen",20455.0,"2020-12-27",577,19.0,92.88682473722805
"LK Tübingen","Nehren",4376.0,"2020-12-27",74,3.0,68.55575868372944
"LK Tübingen","Neustetten",3715.0,"2020-12-27",105,2.0,53.835800807537005
"LK Tübingen","Ofterdingen",5182.0,"2020-12-27",126,5.0,96.487842531841
"LK Tübingen","Rottenburg",43843.0,"2020-12-27",977,68.0,155.09887553315238
"LK Tübingen","Starzach",4335.0,"2020-12-27",130,7.0,161.47635524798156
"LK Tübingen","Tübingen",91506.0,"2020-12-27",1851,132.0,144.25283587961445
"LK Tübingen","Ammerbuch",11302.0,"2021-01-03",246,31.0,274.2877366837728
"LK Tübingen","Bodelshausen",5850.0,"2021-01-03",90,6.0,102.56410256410255
"LK Tübingen","Dettenhausen",5390.0,"2021-01-03",97,1.0,18.552875695732837
"LK Tübingen","Dußlingen",6241.0,"2021-01-03",147,1.0,16.02307322544464
"LK Tübingen","Gomaringen",9077.0,"2021-01-03",209,4.0,44.067423157430866
"LK Tübingen","Hirrlingen",3135.0,"2021-01-03",76,3.0,95.69377990430621
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2021-01-03",146,11.0,194.96632399858208
"LK Tübingen","Kusterdingen",8629.0,"2021-01-03",200,6.0,69.53297021671109
"LK Tübingen","LK",227166.0,"2021-01-03",5272,"",""
"LK Tübingen","Mössingen",20455.0,"2021-01-03",595,14.0,68.4429234905891
"LK Tübingen","Nehren",4376.0,"2021-01-03",75,1.0,22.851919561243143
"LK Tübingen","Neustetten",3715.0,"2021-01-03",115,7.0,188.42530282637952
"LK Tübingen","Ofterdingen",5182.0,"2021-01-03",129,3.0,57.892705519104595
"LK Tübingen","Rottenburg",43843.0,"2021-01-03",1077,72.0,164.22233879980843
"LK Tübingen","Starzach",4335.0,"2021-01-03",133,3.0,69.20415224913495
"LK Tübingen","Tübingen",91506.0,"2021-01-03",1937,68.0,74.31206696828623
"LK Tübingen","Ammerbuch",11302.0,"2021-01-07",268,22.0,194.6558131304194
"LK Tübingen","Bodelshausen",5850.0,"2021-01-07",95,5.0,85.47008547008546
"LK Tübingen","Dettenhausen",5390.0,"2021-01-07",97,0.0,0.0
"LK Tübingen","Dußlingen",6241.0,"2021-01-07",147,0.0,0.0
"LK Tübingen","Gomaringen",9077.0,"2021-01-07",210,1.0,11.016855789357717
"LK Tübingen","Hirrlingen",3135.0,"2021-01-07",76,0.0,0.0
"LK Tübingen","Kirchentelllinsfurt",5642.0,"2021-01-07",149,3.0,53.17263381779511
"LK Tübingen","Kusterdingen",8629.0,"2021-01-07",202,2.0,23.177656738903696
"LK Tübingen","LK",227166.0,"2021-01-07",5382,"",""
"LK Tübingen","Mössingen",20455.0,"2021-01-07",599,4.0,19.55512099731117
"LK Tübingen","Nehren",4376.0,"2021-01-07",75,0.0,0.0
"LK Tübingen","Neustetten",3715.0,"2021-01-07",118,3.0,80.75370121130551
"LK Tübingen","Ofterdingen",5182.0,"2021-01-07",130,1.0,19.297568506368197
"LK Tübingen","Rottenburg",43843.0,"2021-01-07",1112,35.0,79.8303035832402
"LK Tübingen","Starzach",4335.0,"2021-01-07",137,4.0,92.2722029988466
"LK Tübingen","Tübingen",91506.0,"2021-01-07",1967,30.0,32.784735427185105
"LK Tübingen","Ammerbuch",11302.0,"2021-01-14",282,14.0,123.87188108299416
"LK Tübingen","Bodelshausen",5850.0,"2021-01-14",100,5.0,85.47008547008546
"LK Tübingen","Dettenhausen",5390.0,"2021-01-14",101,4.0,74.21150278293135
"LK Tübingen","Dußlingen",6241.0,"2021-01-14",147,0.0,0.0
"LK Tübingen","Gomaringen",9077.0,"2021-01-14",212,2.0,22.033711578715433
"LK Tübingen","Hirrlingen",3135.0,"2021-01-14",80,4.0,127.59170653907495
